/notice/15,"116,870","97,166",00:01:14,"73,965",27.82%,24.77%,$0.00
/135,"68,598","56,071",00:01:13,"43,510",28.63%,27.04%,$0.00
/130,"57,123","41,283",00:01:03,"33,581",24.22%,22.34%,$0.00
/38,"56,736","51,959",00:06:49,"43,198",77.34%,73.86%,$0.00
/66,"54,228","50,916",00:07:18,"46,840",88.34%,86.31%,$0.00
/category/C,"51,826","36,688",00:00:27,"9,130",18.95%,7.22%,$0.00
/29,"46,756","43,404",00:06:21,"35,665",81.72%,74.75%,$0.00
/category/C++,"44,293","27,391",00:00:37,"7,194",26.04%,11.55%,$0.00
/,"42,191","33,039",00:01:09,"22,529",42.22%,32.80%,$0.00
/5,"40,678","34,068",00:02:57,"17,299",49.55%,38.18%,$0.00
/category/C?page=2,"39,716","25,294",00:00:23,"3,954",26.10%,6.67%,$0.00
/215,"37,471","33,929",00:07:33,"31,257",85.63%,82.85%,$0.00
/10,"35,142","32,038",00:05:34,"20,614",85.72%,68.48%,$0.00
/7,"35,081","30,123",00:05:36,"11,088",70.36%,50.31%,$0.00
/187,"34,978","31,154",00:02:32,"21,113",75.11%,65.92%,$0.00
/36,"34,673","32,507",00:05:01,"28,764",79.01%,75.88%,$0.00
/64,"29,938","28,123",00:06:35,"24,115",82.71%,79.21%,$0.00
/9,"28,967","26,008",00:05:45,"14,757",78.19%,59.30%,$0.00
/6,"28,731","24,124",00:03:46,"4,139",42.11%,25.39%,$0.00
/134,"25,899","22,336",00:02:27,"6,326",36.48%,27.30%,$0.00
/8,"25,570","22,665",00:05:37,"9,787",75.40%,54.29%,$0.00
/14,"24,390","21,147",00:04:01,"15,980",77.47%,63.26%,$0.00
/23,"24,160","21,685",00:06:12,"11,027",74.29%,57.28%,$0.00
/99,"23,343","21,976",00:05:48,"19,374",90.43%,83.93%,$0.00
/77,"23,289","22,075",00:05:54,"20,064",87.36%,84.85%,$0.00
/45,"23,165","21,371",00:05:02,"17,916",77.62%,72.78%,$0.00
/58,"23,031","21,401",00:06:35,"18,406",78.02%,74.82%,$0.00
/entry/씹어먹는-C-언어-1-C-언어가-뭐야,"22,959","19,571",00:04:05,"3,600",49.92%,36.72%,$0.00
/196,"22,789","20,989",00:05:08,"19,513",87.61%,82.81%,$0.00
/65,"22,762","21,029",00:07:03,"16,700",80.41%,75.20%,$0.00
/67,"22,203","20,645",00:07:26,"17,819",85.50%,82.78%,$0.00
/129,"21,068","19,610",00:04:55,"15,217",83.84%,73.68%,$0.00
/12,"21,029","18,596",00:05:48,"7,472",76.77%,60.90%,$0.00
/195,"20,865","18,478",00:04:17,"12,700",77.35%,64.49%,$0.00
/32,"20,687","18,811",00:06:02,"10,380",77.00%,64.11%,$0.00
/131,"20,648","19,577",00:06:57,"18,082",88.99%,86.78%,$0.00
/98,"20,566","18,972",00:06:20,"13,456",83.99%,72.93%,$0.00
/35,"20,427","19,319",00:06:01,"17,628",87.64%,85.19%,$0.00
/104,"19,483","18,533",00:06:02,"16,839",87.49%,84.78%,$0.00
/102,"18,067","16,706",00:07:37,"14,455",85.08%,81.04%,$0.00
/68,"18,031","16,576",00:06:47,"13,577",81.89%,76.07%,$0.00
/136,"16,963","14,893",00:04:16,"3,034",61.73%,32.96%,$0.00
/33,"16,364","14,854",00:06:29,"7,515",74.36%,59.23%,$0.00
/100,"16,340","14,963",00:05:38,"11,315",83.45%,74.26%,$0.00
/220,"16,161","13,810",00:05:35,"8,498",81.10%,62.68%,$0.00
/89,"16,113","15,066",00:05:52,"12,528",87.56%,79.04%,$0.00
/106,"15,831","14,957",00:06:24,"12,991",84.84%,81.58%,$0.00
/87,"15,574","14,576",00:06:01,"11,030",86.92%,73.15%,$0.00
/210,"15,492","14,192",00:05:21,"11,384",84.72%,74.99%,$0.00
/21,"15,399","13,278",00:04:13,"2,027",61.47%,31.96%,$0.00
/113,"15,393","13,835",00:03:54,"11,608",78.97%,72.86%,$0.00
/101,"14,851","13,771",00:05:55,"11,992",85.65%,81.10%,$0.00
/169,"14,788","13,393",00:05:00,"5,249",74.64%,50.90%,$0.00
/79,"14,630","13,741",00:05:39,"11,647",83.64%,78.37%,$0.00
/117,"14,434","13,033",00:05:51,"8,459",72.81%,61.70%,$0.00
/18,"14,403","12,854",00:05:13,"3,766",70.13%,52.81%,$0.00
/55,"13,919","12,552",00:05:46,"7,324",77.99%,62.81%,$0.00
/123,"13,823","12,507",00:05:39,"8,483",76.49%,66.88%,$0.00
/44,"13,484","12,612",00:04:26,"10,114",76.03%,70.27%,$0.00
/114,"13,242","12,010",00:03:12,"9,276",76.61%,68.49%,$0.00
/213,"13,233","12,110",00:03:34,"7,603",80.46%,62.75%,$0.00
/188,"13,230","11,696",00:04:32,"4,260",64.34%,50.29%,$0.00
/17,"13,103","12,177",00:05:03,"5,279",83.33%,55.18%,$0.00
/24,"12,994","11,378",00:06:16,"3,688",65.29%,47.96%,$0.00
/80,"12,631","11,847",00:06:05,"9,617",85.47%,79.59%,$0.00
/69,"12,522","11,678",00:06:15,"9,687",81.91%,76.32%,$0.00
/189,"12,089","10,964",00:05:10,"8,934",82.90%,71.83%,$0.00
/141,"11,935","10,743",00:06:46,"3,022",67.07%,48.01%,$0.00
/category/C?page=1,"11,705","7,173",00:00:35,959,25.86%,10.76%,$0.00
/173,"11,656","10,008",00:05:29,"3,313",70.30%,49.03%,$0.00
/25,"11,405","10,120",00:05:40,"3,748",69.58%,53.37%,$0.00
/40,"11,378","10,501",00:05:06,"7,385",72.67%,65.86%,$0.00
/19,"11,360","10,419",00:02:13,"3,573",76.46%,33.07%,$0.00
/138,"11,248","9,890",00:05:15,"1,764",49.55%,32.43%,$0.00
/59,"10,782","10,056",00:06:05,"9,312",87.01%,84.65%,$0.00
/93,"10,543","9,693",00:06:01,"7,775",81.79%,75.32%,$0.00
/202,"10,434","9,572",00:04:28,"6,831",85.79%,72.25%,$0.00
/26,"10,120","9,015",00:04:18,"3,367",70.00%,48.73%,$0.00
/60,"10,047","9,158",00:05:21,"5,845",82.40%,66.49%,$0.00
/172,"10,035","8,801",00:06:04,"2,810",59.32%,43.41%,$0.00
/16,"9,923","8,979",00:04:55,"2,635",68.08%,40.21%,$0.00
/103,"9,914","9,303",00:05:22,"6,731",88.86%,74.70%,$0.00
/37,"9,884","8,922",00:04:54,"5,830",71.46%,62.66%,$0.00
/142,"9,708","9,427",00:03:32,"8,707",96.31%,90.31%,$0.00
/20,"9,551","8,643",00:04:49,"2,396",68.82%,41.21%,$0.00
/71,"9,378","8,619",00:05:26,"6,253",85.88%,71.84%,$0.00
/category/C Reference,"9,049","6,846",00:00:27,"1,222",23.24%,8.42%,$0.00
/198,"8,852","7,941",00:05:04,"4,435",81.17%,65.89%,$0.00
/57,"8,120","7,742",00:05:43,"6,544",87.15%,81.40%,$0.00
/27,"8,068","7,137",00:05:43,"2,571",69.08%,50.55%,$0.00
/85,"7,500","7,115",00:05:50,"5,872",87.59%,80.92%,$0.00
/120,"7,252","6,529",00:03:33,"4,889",75.50%,66.45%,$0.00
/197,"7,218","6,405",00:03:40,"1,558",57.25%,45.86%,$0.00
/76,"7,176","6,737",00:02:52,"5,706",66.65%,62.61%,$0.00
/48,"7,143","6,625",00:04:14,"5,427",76.43%,69.84%,$0.00
/41,"7,115","6,453",00:04:13,"4,641",77.18%,64.85%,$0.00
/72,"6,749","6,238",00:05:07,"4,880",80.16%,71.76%,$0.00
/211,"6,725","6,159",00:04:02,"3,779",81.66%,66.35%,$0.00
/84,"6,577","6,226",00:04:40,"5,536",90.39%,85.69%,$0.00
/28,"6,265","5,524",00:04:44,"1,664",63.64%,46.90%,$0.00
/43,"6,035","5,591",00:04:36,"2,717",78.28%,58.19%,$0.00
/110,"5,948","5,376",00:03:24,"4,414",83.21%,74.01%,$0.00
/83,"5,917","5,122",00:04:39,"2,711",79.45%,53.90%,$0.00
/notice/107,"5,860","5,276",00:02:16,384,31.51%,19.47%,$0.00
/140,"5,736","5,279",00:03:30,"4,626",84.24%,77.63%,$0.00
/118,"5,609","5,043",00:02:54,"3,894",75.83%,66.66%,$0.00
/185,"5,512","5,179",00:02:50,"4,707",84.64%,80.95%,$0.00
/186,"5,488","5,197",00:03:23,"4,641",88.19%,84.84%,$0.00
/124,"5,412","5,104",00:05:00,"4,544",87.74%,83.80%,$0.00
/149,"5,300","4,934",00:05:27,"4,223",83.23%,78.55%,$0.00
/217,"5,273","4,792",00:03:46,"2,919",77.12%,61.22%,$0.00
/90,"5,237","4,901",00:05:20,"3,748",84.50%,75.44%,$0.00
/61,"5,113","4,641",00:04:34,"4,069",80.81%,75.67%,$0.00
/51,"5,073","4,704",00:06:02,"3,461",79.37%,72.99%,$0.00
/81,"4,913","4,556",00:05:26,"3,331",82.74%,71.87%,$0.00
/74,"4,850","4,486",00:05:24,"3,446",79.72%,72.41%,$0.00
/category/C++ Reference,"4,665","3,872",00:00:18,281,20.28%,7.14%,$0.00
/112,"4,611","4,012",00:03:52,"2,702",79.39%,64.69%,$0.00
/209,"4,604","4,136",00:04:06,"1,494",71.29%,50.33%,$0.00
/category/C Reference?page=3,"4,598","3,216",00:00:30,178,44.38%,9.16%,$0.00
/214,"4,580","4,045",00:01:45,835,64.07%,25.63%,$0.00
/223,"4,514","4,190",00:04:30,"3,243",85.63%,74.46%,$0.00
/category/C Reference?page=2,"4,514","2,708",00:00:16,209,18.66%,4.83%,$0.00
/108,"4,508","4,081",00:01:42,"3,385",59.79%,55.04%,$0.00
/109,"4,490","3,975",00:03:55,"2,653",77.65%,65.43%,$0.00
/225,"4,384","4,024",00:02:02,"2,396",82.72%,59.49%,$0.00
/31,"4,362","4,021",00:04:15,"1,168",69.95%,36.27%,$0.00
/34,"4,326","4,063",00:04:08,"2,508",84.33%,64.26%,$0.00
/96,"4,263","3,891",00:04:54,"3,028",84.02%,73.94%,$0.00
/174,"4,139","3,636",00:02:25,"3,125",59.84%,55.69%,$0.00
/75,"3,987","3,733",00:04:17,"2,892",83.47%,76.02%,$0.00
/111,"3,942","3,585",00:04:32,"2,523",84.30%,71.69%,$0.00
/88,"3,921","3,570",00:05:06,"1,364",72.51%,49.91%,$0.00
/183,"3,897","3,757",00:03:14,"3,403",90.68%,85.94%,$0.00
/47,"3,881","3,630",00:03:50,"2,786",78.07%,69.47%,$0.00
/7?category=194983,"3,869","3,288",00:05:06,753,51.00%,41.35%,$0.00
